,value,component,exp,Time
30,1.8574453974906646e-07,y-moist,neutstab,2000-01-01 05:00:00
31,1.6210346842626677e-08,y-moist,neutstab,2000-01-01 05:00:00
32,-4.193833902377264e-08,y-moist,neutstab,2000-01-01 05:00:00
33,4.587537887346116e-07,y-moist,neutstab,2000-01-01 05:00:00
34,-1.0821461415844169e-07,y-moist,neutstab,2000-01-01 05:00:00
35,-5.486147642841388e-07,y-moist,neutstab,2000-01-01 05:00:00
36,4.40645777644022e-07,y-moist,neutstab,2000-01-01 05:00:00
37,2.7612347253125336e-07,y-moist,neutstab,2000-01-01 05:00:00
38,7.577629190791413e-08,y-moist,neutstab,2000-01-01 05:00:00
39,-7.685204082008568e-07,y-moist,neutstab,2000-01-01 05:00:00
40,-7.319124506466324e-07,y-moist,neutstab,2000-01-01 05:00:00
41,-3.32633391053605e-07,y-moist,neutstab,2000-01-01 05:00:00
42,4.6020781496736163e-07,y-moist,neutstab,2000-01-01 05:00:00
43,3.0445011134361266e-07,y-moist,neutstab,2000-01-01 05:00:00
44,-1.7403934293724888e-07,y-moist,neutstab,2000-01-01 05:00:00
45,-5.34251512362971e-07,y-moist,neutstab,2000-01-01 05:00:00
46,3.5656935182259986e-08,y-moist,neutstab,2000-01-01 05:00:00
47,8.060295186851363e-08,y-moist,neutstab,2000-01-01 05:00:00
48,-2.54670936783441e-07,y-moist,neutstab,2000-01-01 05:00:00
0,8.182479304414761e-07,z-moist,neutstab,2000-01-01 05:00:00
1,1.1429123954753144e-07,z-moist,neutstab,2000-01-01 05:00:00
2,-1.5732116077708294e-07,z-moist,neutstab,2000-01-01 05:00:00
3,-1.0380210853004946e-07,z-moist,neutstab,2000-01-01 05:00:00
4,-1.969295951738199e-07,z-moist,neutstab,2000-01-01 05:00:00
5,-2.724599112355728e-07,z-moist,neutstab,2000-01-01 05:00:00
